Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
FRA,148040.75,152936.0,156075.5,159910.25,166047.5,173005.75,181659.5,193520.0,204262.0,216990.0,229685.25,238602.5,248228.25,256163.75,263012.5,272466.5,283751.75,295260.5,303308.75,308258.75,309853.75,310691.0,315413.0
GAB,95.0,94.25,87.25,79.5,84.0,93.75,126.5,154.25,156.0,174.75,173.75,161.0,174.0,189.0,218.25,253.5,266.5,264.5,272.5,227.0,213.25,204.25,211.25
GMB,149.25,158.25,151.75,137.5,128.0,127.0,123.25,159.25,170.75,193.0,217.25,214.25,200.75,199.0,212.75,228.75,278.0,303.5,329.25,310.5,269.75,273.25,249.5
GEO,357.0,429.5,490.75,525.5,527.25,538.25,681.75,741.5,775.5,864.5,813.25,822.75,1006.75,1051.5,1098.25,1227.75,1256.25,1573.25,1988.5,2478.5,3001.75,3237.0,3365.5
DEU,205291.5,213405.75,218431.25,224780.5,233574.25,243391.5,256740.75,272265.25,286675.25,301062.5,314247.5,326123.0,339790.75,355058.75,367154.5,382641.5,400242.5,420360.5,436529.75,450012.75,461900.75,469016.5,487965.25
GHA,277.5,312.5,316.25,334.75,360.25,431.5,513.25,573.25,710.75,826.25,992.5,1212.75,1389.25,1667.25,1907.75,2218.5,2681.5,3241.5,3927.25,4843.0,5950.5,7147.75,8531.75
GRC,14394.5,15587.25,16912.0,18440.25,20442.5,22667.25,25410.75,29141.75,32807.25,36443.25,39686.5,41169.0,42301.5,42949.25,43025.0,43839.75,45098.5,46726.25,48143.25,49702.0,51643.75,54192.25,59222.5
GTM,55.25,42.5,37.75,45.25,54.75,58.5,81.75,85.25,88.25,101.25,105.75,120.75,123.5,153.0,174.5,190.75,228.25,248.25,247.5,240.75,220.5,246.25,264.75
GIN,,,4.25,,,,7.25,11.0,13.75,14.5,14.0,17.0,9.0,10.0,21.5,30.0,46.75,84.75,124.25,139.0,139.25,121.5,120.0
GNB,11.5,10.0,5.25,5.75,9.5,13.25,27.0,28.25,28.5,31.5,26.0,24.75,27.0,29.75,30.0,48.5,55.0,64.0,70.5,59.75,63.25,52.75,55.0
