Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
SWZ,NaN,NaN,NaN,NaN,NaN,554773310,583319933,493912225,706908690,789782098,765834496,910438079,755773380,925077394,858800119,1155610714,831695483,1045224614,1208151329,1102055354,806603735,714302332,700938333,760599224,2308312677,798447192,1180184223,843277591
TCD,23806808,16690114,15745560,20591217,19884282,15367642,16095550,11595141,30174584,1212120859,2010051292,2376007294,2408324244,3828595541,2236498267,2815402939,3758032522,3208981414,3115253676,3091635244,2264416030,1604954058,1244428058,1611751681,1260272031,1596436683,2793890410,4351663534
TGO,280042850,329086703,337981144,310872620,311492966,262744539,309030079,314518467,551429218,483676251,535297410,551669870,816376843,1223400704,998937235,1133501344,1561081289,2424930054,2452048101,2401635965,2052945559,1786646580,2741377503,2988234719,2425764852,1577682284,3126034126,4000563401
TUN,1519946896,1423723290,1527294986,1274374036,1537652593,1611697317,1610478808,1636360090,2110645954,2949438340,3447959532,4610989273,5476874731,7152353316,5354260756,5520217115,5962225466,6372197670,6493322234,5396832080,4701925621,3816010672,3889720887,4819782776,4005373493,4184418687,5102313429,6266821040
TZA,448080249,491223628,597681926,692583497,678342274,922490539,878758779,1019655365,1360914673,1691411707,1901271768,2095556449,2224308804,2880966193,2721494840,3834383872,4764469038,5597200270,5295729633,6600165535,5577729098,5327360202,5062982926,3964552727,5610237187,7080819056,8486019111,9270175114
UGA,699674880,889992789,526244873,617829771,577662166,459745811,496293179,555394163,570302466,661913893,857708190,916986425,1308114013,1563210966,1384849000,1429022088,1736715636,1819787415,2009596387,1960605224,2015473001,2411772978,3012760141,3904065631,3756397364,5537985554,4114465328,3751803839
ZAF,20807786726,23892115609,24169247849,22517832918,23468600230,25887108071,24617886851,25147703564,29534623216,37328669943,42889231446,47109808888,59309796239,69544216457,49483145737,64040754005,81915338270,73745067023,75855811563,70977051184,84417293061,70563925292,80455285977,84286444499,77497717947,75005823074,1.09396E+11,1.12052E+11
ZMB,1250950386,1149996018,1243089865,1007937283,957988069,933986853,1277071428,1240157714,1234886713,2172991547,2520185778,4416628262,5558772187,5683921196,4553998545,8650478892,11330947238,11061242300,10663685181,11852905614,9375299075,8163066915,9473013636,11064458998,9549676012,9386215055,11962333656,13986877763
ZWE,1741890451,1592817359,1675432639,1394401397,1519538627,1667921935,1602600610,1893552124,1580644425,2171151455,2215225248,3374579011,2610956816,1777569121,1835390888,2584560931,3133431051,3396586791,3275182076,3013998573,2794164460,2731535428,3353027788,4353231643,3893398132,4253204456,7622633533,8143800611
AFG,25306636,49031700,62313274,92748661,58347802,55452097,40750552,45033704,137245579,133017402,150985333,169802241,221923112,415730803,535528053,401779398,459487111,543669905,587866963,703795758,824958165,1139847876,1144914260,1195441405,2370188382,1631283120,1706004042,1245266746
ARE,15092387221,18367918742,20635929578,15795442724,18163745126,28377061738,27171259836,25326471174,34317577262,47063738325,70116335277,81928784253,1.01353E+11,1.4878E+11,84668341204,1.30211E+11,1.76649E+11,2.20081E+11,2.05732E+11,1.94306E+11,1.39749E+11,1.36676E+11,1.59334E+11,1.83571E+11,1.84938E+11,1.48316E+11,2.16665E+11,2.99327E+11
ARM,60392396,89249643,181943273,129805684,191536858,269218057,289231570,447619714,697190420,685677616,927334660,1067254535,1040802433,934358934,673437204,990093786,1338825257,1382693237,1548224590,1518552401,1449753688,1910261022,2259509069,2465194215,2837154847,2501125824,2845305512,4096850432
AZE,50789986,515175034,615167804,530142076,1009161135,1822769811,2489309622,2315761124,2805312962,3547538121,4800370942,7516580076,9320054444,48935524829,16085124325,24801869210,28748230395,25877150758,24890227319,22304707877,12759452370,13301051996,15111194574,19480825618,19175965313,13210494235,21606535041,37595528243
BGD,807657925,784881201,765744888,695582587,558886092,814035715,829480850,751072053,830845910,1024332517,1113451961,1261833730,1588645798,1500892117,1360790531,1712435289,1946000541,1942975972,2262094342,2004768645,2010086786,1654085374,1659669049,1737629920,1863264186,1670027214,2386118332,2395020402
BHR,1218258151,1420747477,1533922756,1777523771,1826831705,2703515286,2755132317,2547084716,2812508507,3327661384,4976860877,5814877113,6244515831,9053847303,5181870865,8458958887,10412952135,10400209327,10180547224,22335922888,12449809825,6810716012,7765594377,11586215847,13952014737,9971274153,13503945359,17133719845
CHN,54562595618,54308279983,62369471490,57720095964,59440224421,74046854711,75782022735,86932530886,1.06851E+11,1.44377E+11,1.76804E+11,2.25064E+11,2.82293E+11,3.32397E+11,2.3564E+11,3.07722E+11,3.80116E+11,4.02858E+11,4.24615E+11,4.63501E+11,4.31844E+11,4.08409E+11,4.28479E+11,4.71735E+11,4.67418E+11,4.25394E+11,5.54576E+11,6.46527E+11
CYP,828320987,1037725145,939354912,736094615,621908023,619426953,620752021,458685637,582872613,747876084,715703549,859565368,1620487520,1530199178,956332083,1648889738,2590157127,3663134869,3370365570,1893705296,1807140599,1444718454,1870706611,2271700473,1869514039,1864191467,1962266892,1799740640
GEO,83139343,212211162,262824968,260854035,308799379,462905346,475750199,461347955,760135712,1040140248,1141783579,1403607997,1462040751,1835611977,1367603904,1862517214,2129797604,1987441208,2123677409,2187864961,1808672633,1749300774,2210662904,2480551833,2457320974,2674332182,3358438177,3853728377
HKG,12951885516,12244622375,12330000342,11796773401,11679890223,13063657333,12110569037,14199592934,15698804794,17046889620,18714873561,21412038855,26196195972,31367104694,27044852415,35609955024,63995674375,81814287537,1.05033E+11,85415469012,49391192148,68756937843,58909316410,45859695845,46232843064,58797057798,47343539198,39335309309
IDN,30378513608,33225501912,34588147605,31200923053,32755880634,38303126492,35778117183,37220035462,42245128903,49936062556,59486864130,72335131413,85026393615,1.06831E+11,86570114935,1.13671E+11,1.4702E+11,1.36654E+11,1.29238E+11,1.25164E+11,1.06491E+11,98375099894,1.17623E+11,1.26464E+11,1.14341E+11,1.13455E+11,1.67793E+11,2.23972E+11
IND,18642688482,19862647870,20198396931,19360135345,20980158892,23420033746,23743255129,28299852925,35196919967,47893266684,61896228764,75069615381,97350469680,1.19566E+11,1.00029E+11,1.34657E+11,1.74046E+11,1.7321E+11,1.91044E+11,1.80334E+11,1.40838E+11,1.36123E+11,1.60323E+11,1.7111E+11,1.61802E+11,1.34909E+11,2.0781E+11,2.51121E+11
IRN,13536036302,16225170120,15730031075,10900895407,14449858734,24150124302,21299056850,18680208952,25976449554,38423832076,48469022630,63882414618,64294578926,87070277352,52703620113,1.08621E+11,1.12512E+11,62363966781,66797749130,70792535792,57774451367,63055321274,83140218869,74415903553,32288368931,24552315574,48337885598,10109841213
IRQ,412521253,30379245,2990477860,4862403972,10509635254,15590861912,10987908823,9213480485,8732530429,16777337212,17195469716,27473418115,34514036482,57575870820,35837194094,46981862186,72734105610,89219669622,84661995893,81839989206,50954696192,47057145902,65222645288,91502501451,85435956550,60665761142,81124250926,1.22706E+11
ISR,8664660842,9441505779,10025971264,9861414020,11181670807,13439316106,12413745060,13928868041,14793891351,17897246069,20831503355,21759057336,27907513350,29187201381,19252670736,25654506796,31193582328,27975403859,30303049805,32140166439,26483214940,24268972110,24170783538,25263500894,22099317643,15197324417,21443379060,25964552898
JOR,766351033,348252098,837541561,648339749,677605563,680147994,830584705,1114931936,1242114210,1441699477,1593377371,1948541495,1972831821,3011629099,2640119575,2894624662,3597288085,3616205878,3111462525,3309321232,3129245540,2820032217,2771089121,2663418523,2934579311,3153627682,3484824133,5278860119
