Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
JPN,9331.25,11597.75,14798.25,18533.0,23055.0,28506.0,34301.75,41278.0,47472.5,52612.25,56336.0,58102.25,63892.75,73531.75,83762.5,95077.75,101038.75,104535.5,107976.75,111938.25,115967.25,88796.25,60224.0
KEN,,,,,4.75,6.75,11.0,14.0,17.25,17.25,14.25,14.5,12.75,14.75,19.0,17.5,21.25,22.5,23.25,24.25,23.5,18.75,11.5
KOR,680.25,1059.25,1710.5,2544.25,3378.0,4441.25,5552.0,7176.0,9203.25,11256.75,13148.75,14750.75,16787.0,19121.75,22166.0,25097.5,27140.5,29144.75,31206.25,33645.75,35972.25,28126.5,19223.75
KWT,,,,,,,,,4.75,7.0,8.75,9.0,7.25,,,5.0,5.25,9.0,14.5,13.0,15.5,14.0,9.0
KAZ,10.5,10.75,11.25,12.25,12.0,15.0,16.25,16.75,23.75,24.25,27.5,33.75,34.75,41.75,42.75,41.25,39.0,36.5,44.25,50.75,50.75,41.0,25.75
LBN,6.0,6.0,6.25,7.5,7.5,8.0,11.0,13.25,15.5,18.0,19.25,22.25,22.75,25.25,28.5,31.75,42.25,46.5,47.25,49.5,59.25,48.0,39.0
LKA,7.25,6.25,6.75,9.75,13.5,14.75,15.25,10.75,10.25,14.75,20.75,26.0,32.5,37.5,36.0,41.0,41.5,47.25,49.75,65.0,74.5,61.0,51.5
LTU,6.75,6.25,7.5,15.5,17.25,20.75,23.75,22.75,27.5,31.25,40.25,43.5,43.0,48.5,44.75,59.5,84.25,94.75,109.25,101.5,95.0,79.0,56.25
LVA,14.75,17.5,25.0,33.0,33.25,39.75,40.5,44.75,51.25,57.75,61.25,67.0,60.75,59.75,59.75,55.25,57.75,54.5,55.75,61.75,73.25,69.5,56.75
LBY,,,,,,,,,,,,5.5,5.5,5.0,,,,,,4.5,5.75,5.75,5.75
MAR,4.75,5.75,6.25,11.0,16.0,27.0,29.0,34.25,32.75,33.75,44.5,46.25,48.5,47.5,53.75,77.25,96.0,107.0,109.75,98.0,100.0,89.25,66.0
MDA,5.75,,4.75,5.0,5.25,7.25,6.0,13.5,14.75,16.0,21.0,15.0,13.5,13.5,9.5,9.0,9.5,9.75,12.5,19.5,21.5,18.25,13.75
MKD,,4.75,5.5,5.25,7.0,7.25,6.0,8.5,6.25,6.0,6.5,4.75,4.75,,,,,6.5,6.75,6.25,6.75,5.0,4.5
MNG,,,,,,,,,,,,,5.25,,,,,,,6.0,6.5,5.5,5.0
MUS,,,,,,,,,,,,,,,,4.25,,9.5,12.0,14.25,16.25,10.75,6.0
MEX,10.0,14.75,18.0,20.25,19.5,20.5,25.25,27.75,34.5,43.0,54.75,73.25,86.25,87.0,71.5,62.5,59.25,48.5,59.0,55.5,49.25,45.75,29.5
MYS,25.5,28.25,42.5,64.75,92.75,122.5,140.0,152.25,196.5,247.0,334.5,448.25,551.25,662.75,736.25,775.0,789.5,765.5,742.75,734.5,698.25,542.25,366.0
NGA,,,,,,,,,,6.0,4.5,5.0,6.0,4.75,5.75,6.5,6.0,8.0,8.0,10.25,14.75,12.25,10.5
NLD,3058.5,3594.0,4301.5,5060.25,5852.0,6403.75,6529.25,6613.0,6816.5,7327.0,7886.75,8274.5,8165.5,8173.5,8464.0,8765.25,9356.75,9682.75,9749.0,9732.5,9576.5,8096.0,5620.0
NOR,739.0,843.75,984.75,1070.0,1151.75,1207.25,1208.25,1250.75,1306.75,1396.0,1497.0,1607.0,1670.5,1734.25,1769.0,1798.75,1819.75,1834.25,1879.5,1954.5,1998.5,1680.25,1203.0
NZL,351.25,393.25,448.75,517.25,596.25,658.75,719.25,797.5,827.0,874.0,915.5,884.5,880.0,876.0,858.75,885.0,961.75,961.75,931.25,887.0,804.25,590.25,397.0
OMN,,,,,,,4.25,4.75,4.25,,,,4.25,4.5,7.0,7.25,6.5,6.5,8.25,9.75,14.25,14.0,9.75
PAN,,,,,,,,,5.0,,,,,4.75,6.5,10.5,13.75,15.25,36.75,91.0,96.75,94.25,70.0
PER,,,,,,,,6.25,8.5,11.0,18.5,22.25,25.5,26.75,24.75,26.25,30.75,36.0,39.5,56.5,83.75,74.5,64.0
PHL,19.0,29.25,34.25,31.0,39.75,42.25,65.25,75.5,93.5,97.75,88.75,96.25,85.5,90.5,92.25,93.25,101.75,93.0,102.5,94.0,89.5,76.5,45.25
PAK,,,,,,4.5,5.0,6.0,7.75,12.25,12.75,13.5,16.75,16.25,22.5,26.25,23.5,28.0,26.25,27.75,37.25,31.25,24.25
POL,85.25,101.25,139.75,167.75,223.25,280.5,297.25,305.5,300.75,298.0,332.75,413.25,511.25,617.25,743.5,861.5,952.25,1074.25,1146.25,1171.5,1182.25,984.25,691.75
PRI,,4.5,5.0,4.25,7.5,7.75,14.5,19.75,24.25,24.0,19.75,15.0,14.0,17.0,21.25,29.0,29.75,33.25,34.5,37.75,35.25,26.75,17.75
PRT,26.5,39.25,52.5,67.75,81.75,92.75,98.5,111.5,158.5,205.75,267.75,317.25,351.0,381.0,396.5,415.0,417.0,444.0,502.5,554.75,605.5,549.25,391.25
QAT,,,,,,,,6.0,7.5,9.5,10.0,8.0,7.25,17.0,57.25,81.25,100.5,113.25,90.5,88.25,81.0,58.5,40.5
ROU,27.0,35.0,39.75,44.0,54.0,48.5,60.5,76.0,88.0,117.25,116.5,119.25,117.5,118.5,132.75,150.75,189.75,211.25,218.5,228.0,220.75,184.25,141.0
SRB,,,,,,,,,5.25,16.5,35.0,46.5,58.5,54.75,52.5,63.0,66.75,80.75,84.25,81.25,86.5,80.5,63.0
RUS,765.25,898.5,1018.5,1116.0,1200.5,1239.75,1273.5,1312.75,1432.25,1559.75,1659.75,1695.25,1734.25,1886.5,2069.0,2358.5,2520.75,2490.75,2468.5,2467.25,2452.5,1954.5,1352.25
SAU,7.0,14.0,19.5,24.75,28.5,32.25,37.5,56.0,82.0,91.5,121.75,142.25,162.5,252.25,381.0,468.0,628.5,772.25,973.25,1217.25,1441.75,1331.5,968.0
SDN,,,,,,,,5.75,6.0,7.0,7.25,4.25,4.5,,,,,,,7.5,8.5,8.75,7.75
SWE,3784.5,4290.75,4703.75,5072.75,5186.0,5170.5,4968.0,4879.5,5284.0,5823.5,6471.25,6879.0,6931.25,6978.5,7004.25,7451.75,7879.75,8182.0,8629.25,8762.0,8920.25,7754.25,5617.0
SGP,154.0,209.5,302.75,420.0,539.25,649.25,794.0,924.0,1054.25,1205.5,1352.5,1487.0,1638.0,1770.25,1888.0,2075.25,2197.25,2371.0,2479.5,2517.0,2619.25,2063.25,1426.25
SVN,59.75,57.25,72.75,86.0,104.5,130.0,136.75,155.25,182.0,196.75,219.0,242.5,252.5,269.5,278.5,277.75,290.5,285.25,263.75,275.75,261.0,221.75,178.5
SVK,36.75,43.25,54.0,58.0,64.75,81.25,90.0,93.75,105.5,106.75,103.5,110.0,107.0,118.5,128.25,156.75,169.0,172.75,191.0,198.5,210.25,194.0,143.5
SEN,,,,,,,,,,,,,,,,,,,5.0,5.5,5.0,6.25,4.75
