Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
IND,,,,,-0.475546322,0.191772043,0.108718364,0.390313747,0.733936974,0.534217156,0.634211474,0.595438234,0.444834859,0.584683485,0.669367935,0.667601409,0.806864755,0.7832477,0.577288708,0.549988978,0.411536251,0.466746656,0.752109762,0.860724284,0.892590077,1.003935563,0.996617659,
IDN,,,,,-0.5575076,-0.434127895,-0.494432287,-0.562830888,-0.693677595,-0.797621752,-0.431522005,-0.256007057,-0.296495748,-0.174278156,-0.362625047,-0.317101074,-0.00450881,-0.168143767,-0.01733643,-0.129605274,-0.275788394,-0.105952142,-0.044780152,-0.024263311,-0.049685855,-0.293287567,-0.511124901,
IRN,,,,,-1.573725184,-1.711283618,-1.702580098,-0.968357395,-1.340121715,-1.229610259,-1.316984829,-1.391868867,-1.106981564,-1.274437293,-0.909344993,-0.643425774,-0.535462141,-0.713583604,-1.348805249,-1.114282885,-0.971078148,-0.336547003,-0.110095765,0.195600569,0.315433335,0.291684371,0.09609001,
IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,,,,,0.68680273,0.684008038,0.732326907,0.702156203,0.799047248,0.800720295,0.876256771,0.826484567,0.963638184,1.02358986,1.034571746,1.000395646,0.781252582,0.787222028,0.821066409,0.81105809,0.79918633,0.878999753,0.939810275,0.875193336,0.925002114,0.791098154,0.622736453,
ISR,,,,,0.642172323,0.56176076,0.70338083,0.749748141,0.65306191,0.861167665,1.012496258,0.900625412,0.799809572,0.950303867,0.961830767,0.970437388,0.75294966,0.861294865,0.889270056,0.999355071,1.040008095,0.890105677,0.822148542,0.714445,0.728414438,0.751715921,0.818077774,
ITA,,,,,1.101223577,1.138248648,1.15111508,1.194064213,1.305945049,1.34105871,1.387211553,1.33695364,1.366280643,1.460216855,1.480181193,1.476641762,1.346140306,1.342048907,1.418220999,1.436537518,1.486801498,1.456184769,1.444927239,1.472536617,1.381328603,1.353644578,1.335632438,
JAM,,,,,,,,,,,,,,-0.659225059,-1.169614778,-0.97369888,-0.796647065,-0.725360071,,-0.87404472,-1.859750134,-1.57754066,-1.353290188,-2.896156325,-1.732284409,,,
JPN,,,,,0.670775606,0.632180648,0.599319834,0.530377158,0.529765144,0.433977538,0.662255965,0.632965996,0.710109042,0.837397783,0.801184348,0.622781305,0.63613078,0.595118508,0.675133909,0.682397705,0.757797285,0.759248983,0.838021683,0.790514024,0.790000064,0.882975117,0.999414726,
JOR,,,,,,,-2.268443036,-2.67949885,-2.320310173,,,-1.550658712,-1.784937174,-1.43023032,-1.406468286,-1.119548043,-1.041272957,-1.278261388,-1.808340122,-1.02687975,-0.946370568,-1.223205992,-0.778342893,-1.006355944,-1.00689418,-0.975551494,-0.980310694,
KAZ,,,,,-0.466231157,-0.286467734,-0.090019901,-0.075861369,-0.448344458,-0.259960041,-0.643657817,-0.524474951,0.044301544,-0.258065747,-0.372882839,-0.396583587,-0.718978776,-0.639320341,-0.686458253,-0.547771948,-0.333074712,-0.118336074,-0.305949928,0.022963146,0.115809302,0.000654771,-0.204918483,
KEN,,,,,,,,,-2.665722231,-2.128629886,-0.90097277,-0.425388452,-0.765132756,-0.979157608,-1.264414431,-0.886007479,-0.343563315,0.008084065,-0.223356965,-0.2595258,-0.153356324,-0.520433537,-0.762863144,-0.945263572,-1.034667706,-1.124677035,-1.515708668,
KWT,,,,,,,,,,,,-1.77838927,-1.072060401,-0.976937778,-1.302183899,-1.290491369,-1.367694489,-2.335262483,,-1.735762362,-1.917876283,-1.915896062,-0.916704501,-0.824904442,-0.732445738,-1.041861305,-1.774273364,
KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,,,,,,,,,,,,,,,,,,,,,-2.312900572,-1.895049775,-2.204366648,,,,,
LBN,,,,,-2.282390492,-1.356765914,-1.617961025,-1.55090896,-1.592644765,-1.236484553,-1.094595617,-0.865204182,-0.913706303,-0.978790633,-1.365289879,-1.329659419,-1.151151424,-0.580400653,-0.597222842,-0.694786088,-0.61145399,-0.782962678,-0.875674167,-0.756187093,-0.421201563,-0.772002217,-0.879694107,
LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,,,,,,,,,,,,,,,,-1.089507825,-1.183844927,-1.373308569,,,,,,-0.461285047,-0.837850858,-0.920136019,-1.074785935,
LTU,,,,,-0.528986423,-0.526209105,-0.723567341,-0.867313404,-0.830223001,-0.665477433,-0.581327013,-0.573380343,-0.360637707,-0.413476812,-0.42274575,-0.172608776,-0.1666318,-0.313736174,-0.333007872,-0.113462086,0.011116903,0.156381839,0.304799517,0.01551326,-0.112295973,-0.212357116,-0.311154651,
MDG,,,,,,,,,,,-1.243648925,-1.354551866,-1.392491805,-1.521180681,-1.854062326,-1.670058207,,,,,-1.668767826,-1.847515532,,,,,,
MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS,,,,,0.030653457,-0.524113583,-0.483649021,-0.188305514,0.111197448,0.166771048,0.621740225,0.561276056,0.553485658,0.510475023,0.485817305,0.502017344,0.726802733,0.644505469,0.632348721,0.712070551,0.603564297,0.604806285,0.641469603,0.593608351,0.66528644,0.687718295,0.588869853,
MLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,,,,,-0.41108823,-0.434919867,-0.571079101,-0.645180009,-0.572081241,-0.381295007,-0.200120506,-0.108583972,0.150927737,0.123711831,0.05330943,0.313890099,0.271112293,0.3287225,0.198416088,0.063917536,0.052008012,-0.058076771,0.135427038,0.110469533,0.075936222,0.025241824,-0.254441783,
MDA,,,,,-0.314898435,,-0.147345019,-0.109849863,0.110346413,-0.218988971,-0.485433869,-0.141541403,-0.137674563,-0.158805806,-0.206767824,-0.372407886,-0.370616186,-0.283758583,-0.145939434,-0.201500413,-0.265933827,-0.097532836,-0.403954076,-0.031416457,0.020391212,-0.264546235,-0.341762848,
MNG,,,,,,,,,,,,,,,,-1.969641627,-1.926981564,-0.695123451,,,,,,-1.626197273,-1.619494739,-2.040314183,-1.7360129,
MAR,,,,,-1.694822273,-1.990099122,-2.071387193,-1.937147911,-1.134587856,-0.942000449,-0.888853461,-0.370793028,-0.232615359,-0.646565032,-0.39346752,-0.298034,-0.07648408,-0.105046863,-0.230068109,-0.127800098,-0.055252477,-0.033176721,0.176541969,0.156775918,0.079773275,-0.018391933,-0.237850714,
MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,,,,,,,,,,,,,,,,,,,,,,-2.180262184,,-2.103131391,-1.991746234,,,
NLD,,,,,0.914199128,0.830791972,0.8551241,0.865305046,0.89305638,0.941926195,1.062210388,1.031063471,1.048067265,0.975667106,0.938792332,1.04088398,1.048362528,1.195466479,1.201142034,1.167698598,1.175674232,1.189574658,1.171113996,1.188601027,1.026126787,0.993302215,1.075804296,
NZL,,,,,1.053956285,1.065703481,1.049773239,1.109046278,1.093727061,1.15046847,1.087636747,1.165443779,1.170356048,1.126104733,1.108350692,1.175589194,1.137311332,1.184178593,1.160677585,1.174412679,1.137037825,1.142703457,1.182274686,1.105739688,1.01240573,0.940691733,0.726981896,
NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,,,,,,,,,,,,,,-0.050892636,-0.244216576,-0.328809524,-0.475972443,-1.630273216,-1.096283266,-1.048501465,-0.649605075,-0.404725156,-0.793463452,-0.756450175,-1.106548057,-1.620948696,-1.937865281,
PRK,,,,,,,,,,-2.679301207,-1.672240633,-1.392092736,-1.10819535,-0.796337688,-0.603243362,-0.900606786,-0.875199543,-1.283213372,-1.385272753,-1.032699503,-0.827586193,-0.521962156,-0.44542851,-0.332595364,-0.980196845,-1.300047314,,
MKD,,,,,,0.098208255,-0.126355625,-0.425898965,-0.238251185,-0.491206536,-0.305444759,-0.310402286,-0.470957193,-0.565023473,-0.648224172,-0.369302187,-0.553686319,,,,,-1.285537299,-1.263741022,-1.06439229,-0.916024293,-0.995103454,-1.356233969,
NOR,,,,,1.060454707,1.016546252,1.069256549,1.067276475,1.156715969,1.170179072,1.099845255,1.03789612,1.028345608,1.165404272,1.112958771,1.151490565,1.244817803,1.10702719,1.138115532,1.184147116,1.206961578,1.266616472,1.330965513,1.233251268,1.325943611,1.353590765,1.325496926,
OMN,,,,,,,,,,,-2.154169639,-1.950787688,-1.889494163,,,,-2.910752926,-3.007653114,-2.553088401,-0.6109494,-0.472168931,-0.562457128,-0.68756262,-1.168280749,-1.40225852,-1.09516868,-1.384357318,
PAK,,,,,,,,,,-2.037450768,-1.955557512,-1.526295371,-1.859702305,-1.644989194,-1.635057011,-1.06214547,-0.618141221,-0.677662954,-0.608358933,-0.974964689,-1.312608714,-0.853775816,-1.042585026,-1.063581402,-0.994695839,-1.000128226,-1.205877476,
PAN,,,,,,,,,,,,-1.89536954,-1.823006285,-1.531699564,,,,-1.200018491,-1.457262611,-1.634679089,-1.711128401,-1.399526777,-0.107907504,0.50683984,0.447792534,0.407165779,0.092094554,
PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER,,,,,,,,,,,-0.701211421,-0.714267159,-1.025743424,-0.997638757,-1.180808767,-0.414521316,-0.318822542,-0.306854691,-0.361980699,-0.536379063,-0.327625571,-0.157377815,0.029085655,0.233389414,0.483528628,0.41558076,0.184877651,
PHL,,,,,-0.556335145,-0.421188178,-0.537066134,-0.697808999,-0.3138536,-0.798227796,-0.402353705,0.114333237,0.252552512,0.223559908,0.130224155,0.055211166,0.046409509,-0.16545868,-0.181281758,-0.203129548,-0.291505462,-0.04636537,0.057255851,-0.012313474,0.194637813,-0.09101861,-0.364930896,
POL,,,,,0.377037208,0.507228046,0.669921861,0.71269368,0.721260398,0.791875754,0.868266354,0.745054389,0.730892134,0.731667077,0.703620699,0.745369177,0.807227547,0.83721506,0.809028077,0.854073542,0.883663924,0.890860536,1.026041616,0.993982166,1.024097221,1.084239342,1.003260767,
PRT,,,,,0.080493028,0.14357527,-0.064487775,-0.069136891,0.083287569,0.121205384,0.33667054,0.581921931,0.604236252,0.614329948,0.60125339,0.708613429,0.720433609,0.703545121,0.700237687,0.672593118,0.672039768,0.725707297,0.909712958,0.850649682,0.845303695,0.889993266,0.801526746,
QAT,,,,,,,,,,,,-2.179982872,-1.822497003,-1.666725934,-1.980128073,-1.955704834,-1.833077052,-0.979707827,-0.357627387,-0.247225494,-0.3278774,-0.527997482,-0.85149766,-0.855768844,-0.971059329,-0.882522461,-1.009614021,
COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,,,,,0.026836056,0.24930095,0.252954535,0.085646791,0.109294393,-0.113270939,0.01668961,0.25462055,0.311541681,0.368855162,0.326866973,0.481038304,0.413579263,0.400562822,0.27536647,0.25742531,0.37104046,0.451893986,0.469654125,0.585570235,0.60550566,0.516879031,0.490415842,
RUS,,,,,0.88027323,0.895278223,0.91898368,0.939411912,0.937305989,0.954488492,1.035571222,0.929225087,0.968300072,1.009286003,1.035881975,1.14254809,1.032129528,1.114224953,0.987375114,1.095045374,1.202296216,1.197614765,1.187723214,1.129703417,1.088842032,1.180461406,1.075717702,
SAU,,,,,-0.926702371,-1.315808184,-1.187765734,-1.373882823,-1.013821603,-0.67993456,-0.610906638,-0.297992908,-0.149048538,-0.2644712,-0.282470984,-0.601226113,-0.181653782,0.244086841,0.301682057,0.334732249,0.559205999,0.686313134,0.718718937,0.835480672,0.902692585,0.908834026,0.980190972,
SEN,,,,,,,,,,,,,,,,,,,,,,,-1.664862015,-1.465276271,-1.535449736,-1.063301418,-1.362097266,
