Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BLR,,,,,-1.278137565,-1.501125483,-1.589639399,-1.68411408,-1.769755499,-1.653053173,-1.92470389,-1.320224264,-1.060626266,-0.513060675,-0.248640419,-0.796514786,-0.837569513,-0.630560939,-1.031842021,-0.693913519,-0.42337307,-0.699868937,-1.7150835,-2.202853412,-1.737344328,-1.313241517,-1.104643119,-1.257425572
BEL,,,,,1.021266325,0.969128119,0.959709282,0.942429738,0.887006006,1.052842551,1.05802194,1.390943166,1.47298303,1.408366888,1.422548037,1.415687448,1.502143936,1.597848363,1.667793061,1.581681467,1.548973553,1.668414572,1.794752257,1.575321734,1.713672346,1.839423559,1.888706561,1.84340985
BEN,,,,,,,,,,-0.156362207,-0.09795196,-0.954328788,-1.129564643,-1.3850459,-1.405489486,-1.206104585,-1.195657081,-1.19848905,-1.020111544,-1.303465161,-1.272456943,-1.213547917,-0.583910102,0.106706762,-0.066051863,-0.219709421,-0.491803313,-0.482383271
BOL,,,,,0.049161392,0.109302988,0.265461075,0.165549558,0.080029193,-0.231574884,0.054781761,-0.654833259,-0.642993603,-0.91014968,-0.9005049,-0.610776415,-0.733475675,-0.812182465,-0.791662012,-0.843378853,-0.921039616,-0.588761487,-0.538852265,0.174911626,-0.163260299,-0.409945979,-0.636331217,-0.48140647
BIH,,,,,,,,,,,-1.462596429,-1.171198366,-0.545473393,-0.24379596,0.028834022,-0.445196007,-0.468165611,-0.60369899,-0.738716016,-0.677934344,-0.255120782,-0.239323343,-0.385583236,-0.547741092,-0.837288337,-0.845972638,-0.933313649,-1.06516823
BWA,,,,,-0.109848353,-0.177700142,0.170193611,0.025225261,-0.086158616,-0.051794938,0.041064544,-0.435750054,-0.506838047,-0.783773103,-0.900023504,-0.619035791,-0.549766256,-0.751224086,-0.590329844,-1.090280069,-1.172247517,-1.050925489,-0.738084274,-0.545202565,-0.865494159,-0.942058557,-0.896191037,-0.944405974
BRA,,,,,0.179382156,0.153006158,0.151397729,0.075907355,-0.01319244,0.135207404,0.309123714,0.444644376,0.598818459,0.76787517,0.840773624,0.872519289,0.908523444,0.94506266,1.05591837,0.905194509,1.041653212,1.178215121,1.288736287,1.099142046,1.191162082,1.226003275,1.265778165,1.191931766
BGR,,,,,-0.885774417,-0.948899267,-0.993982439,-1.005540466,-0.921008048,-0.780518827,-0.847451001,-0.358973211,-0.26992578,-0.118969119,-0.051871704,-0.29718008,-0.280475031,-0.20989907,-0.262921783,-0.109370612,0.041976278,-0.114353377,-0.315945129,-0.744404312,-0.646668782,-0.685401822,-0.850982786,-0.960871267
BFA,,,,,-0.240428654,-0.061937639,0.211966609,0.177942229,0.198980872,-0.018388728,0.100537137,-0.7339852,-0.78899241,-1.013307957,-1.166557282,-0.919360378,-0.807958872,-1.027153783,-1.060712731,-1.269513903,-1.300515808,-1.022512682,-0.383017115,0.364736322,0.116670747,-0.146767989,-0.478576256,-0.611159666
MMR,,,,,,,,,,,,,,,,,,,,,,-1.575669688,-0.727268,-0.05788996,-0.594135246,-0.908328373,-0.919225979,-1.061493869
KHM,,,,,,,,,,,,-0.866504856,-1.151633277,-1.231701936,-1.187434502,-0.988891151,-0.909015741,-1.167549844,-1.08524473,-1.268253384,-1.33509391,-0.92977143,-0.188937491,0.412570688,0.216046374,-0.016999556,-0.369978949,-0.537987089
CMR,,,,,-0.528980865,-0.302484892,0.032135772,-0.039054822,-0.088852302,-0.27029179,-0.243851042,-0.75985153,-0.869310746,-0.8500626,-0.776015986,-0.673505877,-0.710098218,-0.790474105,-0.767329948,-0.849435348,-0.802710017,-0.580506874,-0.367541575,-0.040358664,-0.216355871,-0.200397026,-0.446363459,-0.613340817
